,location,crop,season,indicator,Unit,Date,Value,State,mean
52,Adilabad,Rice,Kharif,Area (In Hectare),hectare,2009,54506.0,Telangana,79.6026315789
53,Adilabad,Rice,Kharif,Area (In Hectare),hectare,2010,37878.0,Telangana,79.6026315789
54,Adilabad,Rice,Kharif,Area (In Hectare),hectare,2011,62903.0,Telangana,79.6026315789
55,Adilabad,Rice,Kharif,Area (In Hectare),hectare,2012,60681.0,Telangana,79.6026315789
56,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,1999,152300.0,Telangana,79.6026315789
57,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2000,162451.0,Telangana,79.6026315789
58,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2001,146235.0,Telangana,79.6026315789
59,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2002,150343.0,Telangana,79.6026315789
60,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2003,110710.0,Telangana,79.6026315789
61,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2004,184732.0,Telangana,79.6026315789
62,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2005,54133.0,Telangana,79.6026315789
63,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2006,178198.0,Telangana,79.6026315789
64,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2007,155318.0,Telangana,79.6026315789
65,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2008,96000.0,Telangana,79.6026315789
66,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2009,133049.0,Telangana,79.6026315789
67,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2010,75264.0,Telangana,79.6026315789
68,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2011,175263.0,Telangana,79.6026315789
69,Adilabad,Rice,Kharif,Production (In Tonnes),tonnes,2012,151310.0,Telangana,79.6026315789
70,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,1999,2.2936746988,Telangana,79.6026315789
71,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2000,2.4469934325,Telangana,79.6026315789
72,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2001,2.0699978767,Telangana,79.6026315789
73,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2002,2.2319991686,Telangana,79.6026315789
74,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2003,1.5449990929,Telangana,79.6026315789
75,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2004,2.4679964196,Telangana,79.6026315789
76,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2005,1.5190111401,Telangana,79.6026315789
77,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2006,2.5719935339,Telangana,79.6026315789
78,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2007,2.3989929413,Telangana,79.6026315789
79,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2008,2.4,Telangana,79.6026315789
80,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2009,2.4409973214,Telangana,79.6026315789
81,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2010,1.9870109298,Telangana,79.6026315789
