"Sub-division ","January 2010 Actual (in millimetre)","January  2010 Normal (in  millimetre)","January 2011 Actual (in  millimetre)","February  2010 Actual (in  millimetre)","February  2010 Normal (in  millimetre)","February  2011 Actual (in  millimetre)","March 2010 Actual (in  millimetre)","March  2010 Normal (in  millimetre)","March  2011 Actual (in  millimetre)","March   2010 Normal (in  millimetre)","     April 2010 Actual (in  millimetre)","April  2010 Normal (in  millimetre)","     April 2011 Actual (in  millimetre)","May  2010 Actual (in  millimetre) (in  millimetre)","May  2010 Normal (in  millimetre)","May 2011 Actual (in  millimetre)","June 2010 Actual (in  millimetre)","June  2010 Normal (in  millimetre)","June  2011 Actual (in  millimetre)","July 2010 Actual (in  millimetre)","July  2010 Normal (in  millimetre)","July 2011 Actual (in  millimetre)"," August  2010 Actual (in  millimetre)","August  2010 Normal (in  millimetre)"," August 2011 Actual (in  millimetre)","  September 2010 Actual (in  millimetre)","September  2010 Normal (in  millimetre)","  September 2011 Actual (in  millimetre)","   October  2010 Actual (in  millimetre)","october  2010 Normal (in  millimetre)","   October  2011 Actual (in  millimetre)","October  2010 Normal (in  millimetre)","   November 2010 Actual (in  millimetre)","November  2010 Normal (in  millimetre)","   November 2011 Actual (in  millimetre)","   December 2010 Actual (in  millimetre)","December  2010 Normal (in  millimetre)","   December 2011 Actual (in  millimetre)"
"Rajasthan West","1.1","2.9","0.0","1.3","4.5","12.8","0.3","4.0","1.4","3.8","0.5","4.2","2.4","1.8","11.1","8.7","48.4","29.9","26.1","127.6","102.7","93.0","161.7","89.3","165.9","101.9","41.3","116.3","0.6","4.0","0.1","5.4","24.1","2.5","0.0","3.9","1.6","0.0"
"Rajasthan East","1.7","5.6","0.0","1.4","4.9","13.0","0.1","4.0","0.5","3.7","0.3","2.9","0.9","0.3","10.8","5.4","28.1","62.5","151.5","202.7","225.2","197.0","284.1","228.4","310.8","144.6","99.7","170.0","0.3","15.5","0.0","16.9","75.1","7.4","0.0","2.6","3.3","0.0"
"Madhya Pradesh West","1.2","8.5","0.0","4.7","5.1","1.5","0.7","5.0","0.7","4.6","0.0","2.0","0.9","0.2","6.9","1.8","60.5","105.4","223.9","258.0","291.6","309.9","298.6","308.7","348.0","135.1","170.4","175.5","11.1","32.2","0.1","34.4","46.8","11.0","0.0","1.0","7.7","0.0"
"Madhya Pradesh East ","2.4","20.0","0.1","8.4","15.3","2.0","1.0","13.3","0.9","12.5","0.3","5.5","8.9","3.3","7.1","7.7","58.8","133.7","316.1","366.5","347.8","317.7","279.5","369.7","310.9","215.1","200.0","254.8","17.4","39.5","1.6","37.5","11.4","9.9","0.0","2.2","10.4","0.0"
"Gujarat Region","0.1","0.8","0.0","0.0","0.3","0.2","0.0","1.1","0.0","1.0","0.0","0.3","0.0","0.0","5.1","0.0","61.1","129.9","15.9","342.8","336.7","271.5","386.4","277.7","456.4","220.9","156.7","157.5","8.3","21.1","2.4","23.7","39.9","9.5","0.0","0.3","1.7","0.0"
"Saurashtra,Kutch & Diu","0.2","0.4","0.0","0.0","0.2","1.9","0.0","1.3","0.0","1.2","0.0","0.2","0.0","0.1","2.5","0.0","72.6","85.9","24.3","408.0","188.2","201.2","340.8","124.6","284.6","184.5","74.8","209.6","5.5","13.9","3.3","17.9","62.2","10.3","0.1","0.0","0.8","0.0"
"Konkan & Goa","1.1","0.1","0.0","0.0","0.2","0.0","0.4","0.1","0.0","0.0","2.8","2.7","4.4","8.7","34.3","0.7","671.8","700.0","837.1","1405.5","1110.0","1436.9","838.1","759.6","968.8","522.0","344.7","473.4","188.3","104.9","109.5","121.0","109.2","22.3","11.6","1.5","5.3","0.0"
"Madhya Maharashtra","2.9","1.1","0.0","0.5","0.8","1.5","2.8","3.4","0.6","2.7","4.4","8.9","8.7","4.3","26.2","12.3","184.3","145.6","130.1","263.7","242.2","245.3","229.1","189.1","243.0","161.8","152.4","142.8","75.9","70.4","58.6","79.0","75.8","22.7","0.0","0.8","6.1","0.0"
"Marathwada","11.4","3.8","0.0","7.0","3.0","5.3","7.6","6.1","0.6","5.7","0.6","6.5","11.5","3.2","18.1","9.9","118.3","143.3","69.5","328.6","187.2","241.6","297.7","188.2","231.4","159.7","164.2","90.5","63.7","66.9","25.4","72.3","40.4","21.2","0.0","1.2","8.1","0.0"
"Vidarbha","16.2","10.2","0.0","15.3","7.0","9.2","13.3","12.3","1.8","12.0","0.6","7.7","28.3","0.6","11.2","17.0","145.0","168.0","145.1","448.3","311.9","251.3","387.8","305.7","315.5","233.6","169.0","185.6","51.7","53.1","4.6","59.6","39.7","13.2","0.0","3.1","9.0","0.1"
"Chattisgarh","5.3","10.7","0.1","2.8","10.6","14.2","1.9","15.5","1.8","13.3","4.7","13.8","42.5","5.7","18.1","16.6","89.6","182.8","193.2","397.3","376.2","271.4","303.8","373.3","374.2","244.0","215.0","381.7","55.6","66.5","13.7","62.3","13.4","8.8","0.0","23.7","5.8","3.6"
"Coastal Andhra Pradesh","14.9","8.3","1.9","2.1","10.4","20.7","3.3","12.3","0.8","11.1","13.8","21.8","44.3","180.1","64.1","52.0","138.4","103.9","76.0","272.5","160.4","167.5","231.8","157.7","198.7","193.9","159.1","94.2","205.9","197.1","104.1","193.2","240.5","106.6","60.6","127.7","27.8","14.7"
"Telangana","11.2","5.8","0.0","7.2","5.5","9.7","0.9","9.7","2.3","9.4","10.9","16.5","33.1","40.6","30.9","20.3","102.3","135.9","80.5","389.5","238.2","261.6","278.9","218.8","230.3","242.3","162.3","84.4","101.7","84.1","15.7","92.2","45.7","21.6","1.7","17.7","5.5","0.0"
"Rayalseema","9.2","3.0","0.1","0.5","3.6","6.8","0.3","6.7","0.0","6.5","25.4","19.9","34.9","77.0","55.6","43.7","94.6","67.7","51.4","155.0","94.2","109.7","169.4","103.3","164.3","100.6","133.1","53.0","82.9","121.0","89.2","129.4","163.5","66.1","71.0","28.7","23.7","18.7"
"Tamil Nadu ","11.4","17.5","7.5","0.1","13.4","27.8","2.1","19.6","8.7","18.3","21.4","42.3","94.8","100.7","67.5","39.3","71.0","46.0","35.2","80.2","68.0","63.8","107.8","87.4","114.1","120.2","115.8","85.8","153.6","180.8","220.5","180.2","326.5","170.0","252.4","127.2","88.0","63.9"
"Coastal Karnataka","11.7","0.7","0.0","0.0","0.2","0.5","2.1","4.2","0.8","4.1","60.5","28.1","65.2","90.9","146.6","45.8","751.6","867.7","1069.5","1286.5","1159.7","1154.8","677.4","755.5","954.3","532.1","300.9","598.1","347.5","178.5","169.7","189.5","235.1","59.6","87.6","12.1","13.7","0.1"
"North Interior Karnataka","9.1","2.2","0.2","2.9","1.7","3.9","0.7","6.2","0.8","5.2","19.7","25.6","44.8","44.4","54.3","49.4","113.6","104.6","91.0","180.7","135.0","141.0","208.7","120.4","148.0","112.2","146.0","60.3","84.3","102.9","78.5","112.0","79.4","27.3","2.3","1.6","6.0","0.0"
"South Interior Karnataka","9.0","1.4","0.1","0.6","3.0","8.6","6.4","8.8","7.6","8.5","79.8","43.8","87.3","139.9","92.9","88.9","133.9","141.5","165.1","225.8","216.1","189.4","228.7","161.4","184.3","152.3","141.0","100.8","134.2","139.1","151.6","147.7","194.0","49.2","54.6","4.1","12.7","2.2"
"Kerala","18.4","8.7","20.6","1.0","15.6","46.1","31.9","37.9","25.3","30.4","140.3","109.5","165.2","189.8","239.8","121.6","669.1","649.8","790.5","630.0","726.1","538.4","358.3","419.5","495.3","273.8","244.2","391.9","442.5","291.2","230.9","292.3","339.0","150.9","165.8","47.9","37.5","50.0"
